mid,name,rating,director
131144,Werner - Das muss kesseln!!! (1996),4.00,
75,Big Bully (1996),2.47,Steve Miner
76,Screamers (1995),3.01,Christian Duguay
131150,7 Dwarves: The Forest Is Not Enough (2006),4.00,Sven Unterwaldt Jr.
77,Nico Icon (1995),3.44,Susanne Ofteringer
65612,Castaway (1986),3.67,Nicolas Roeg
78,"Crossing Guard,3.18,Sean Penn
131148,What A Man (2011),4.00,Matthias Schweighofer
79,"Juror,3.16,Brian Gibson
65614,Island in the Sun (1957),2.75,Robert Rossen
80,"White Balloon,3.73,Jafar Panahi
131154,"Die Bademeister – Weiber,3.50,
81,Things to Do in Denver When You're Dead (1995),3.28,Gary Fleder
82,Antonia's Line (Antonia) (1995),4.01,Marleen Gorris
131152,The Fat Spy (1966),0.50,
83,Once Upon a Time... When We Were Colored (1995),3.66,Tim Reid
84,Last Summer in the Hamptons (1995),3.40,Henry Jaglom
65621,Liberty Kid (2007),3.00,Ilya Chaiken
131158,"Manta,4.00,
85,Angels and Insects (1995),3.54,Philip Haas
86,White Squall (1996),3.49,Ridley Scott
131156,Ants in the Pants 2 (2002),4.00,
87,Dunston Checks In (1996),2.39,Ken Kwapis
88,Black Sheep (1996),3.13,Penelope Spheeris
131162,Por un puñado de besos (2014),2.00,David Menkes
89,Nick of Time (1995),3.14,John Badham
90,"Journey of August King,3.34,John Duigan
131160,Oscar and the Lady in Pink (2009),4.00,Eric-Emmanuel Schmitt
92,Mary Reilly (1996),2.86,Stephen Frears
65629,"Fûke,3.50,
131166,WWII IN HD (2009),4.00,
93,Vampire in Brooklyn (1995),2.53,Wes Craven
94,Beautiful Girls (1996),3.53,Ted Demme
65631,Battle in Seattle (2007),3.26,Stuart Townsend
131164,Vietnam in HD (2011),4.00,
95,Broken Arrow (1996),3.12,John Woo
96,In the Bleak Midwinter (1995),3.69,Kenneth Branagh
65633,Fuel (2008),3.40,Joshua Tickell
131170,Parallels (2015),3.50,
97,"Hate (Haine,4.00,Mathieu Kassovitz
98,Shopping (1994),2.55,
131168,Phoenix (2014),3.50,Christian Petzold
99,Heidi Fleiss: Hollywood Madam (1995),3.12,Nick Broomfield
100,City Hall (1996),3.23,Harold Becker
131174,Gentlemen (2014),3.50,Mikael Marcimain
101,Bottle Rocket (1996),3.79,Wes Anderson
102,Mr. Wrong (1996),2.45,Nick Castle Jr.
131172,Closed Curtain (2013),1.00,Kambuzia Partovi
103,Unforgettable (1996),3.28,Amma Assante
65638,Aspen (1991),3.50,
104,Happy Gilmore (1996),3.42,Dennis Dugan
105,"Bridges of Madison County,3.33,Clint Eastwood
65640,Model (1980),3.62,
106,Nobody Loves Me (Keiner liebt mich) (1994),3.42,Doris Dorrie
131176,A Second Chance (2014),4.50,Susanne Bier
107,Muppet Treasure Island (1996),3.20,Brian Henson
65642,"Timecrimes (Cronocrímenes,3.80,Nacho Vigalondo
108,Catwalk (1996),3.04,Robert Leacock
109,Headless Body in Topless Bar (1995),2.33,James Bruce
110,Braveheart (1995),4.05,Mel Gibson
131180,Dead Rising: Watchtower (2015),2.50,
111,Taxi Driver (1976),4.11,Martin Scorsese
112,Rumble in the Bronx (Hont faan kui) (1995),3.40,???
113,Before and After (1996),3.13,Barbet Schroeder
114,Margaret's Museum (1995),3.62,Mort Ransen
65651,Fire and Ice (2008),3.14,Pitof
115,"Happiness Is in the Field (Bonheur est dans le pré,3.27,Etienne Chatiliez
116,Anne Frank Remembered (1995),3.93,John Blair
117,"Young Poisoner's Handbook,3.59,Benjamin Ross
118,If Lucy Fell (1996),3.02,Eric Schaeffer
119,"Steal Big,2.80,Andrew Davis
120,Race the Sun (1996),2.89,Charles T. Kanganis
121,"Boys of St. Vincent,3.74,John N. Smith
122,Boomerang (1992),2.87,Reginald Hudlin
123,Chungking Express (Chung Hing sam lam) (1994),3.97,Kar Wai Wong
124,"Star Maker,3.50,Giuseppe Tornatore
125,Flirting With Disaster (1996),3.76,David O. Russell
65660,"Secret of the Grain,3.53,Abdel Kechiche
126,"NeverEnding Story III,2.34,Peter MacDonald
127,"Silences of the Palace,3.28,Moufida Tlatli
65665,Hamlet (2000),3.31,Campbell Scott
128,Jupiter's Wife (1994),3.48,Michel Negroponte
129,Pie in the Sky (1996),3.17,Bryan Gordon
130,Angela (1995),3.10,Rebecca Miller
65667,Punk's Not Dead (2007),3.14,
131,Frankie Starlight (1995),3.30,Michael Lindsay-Hogg
132,Jade (1995),2.77,William Friedkin
65669,"Streaks,3.00,Magdalena Piekorz
133,Nueba Yol (1995),2.50,Angel Muniz
134,Sonic Outlaws (1995),3.65,Craig Baldwin
135,Down Periscope (1996),3.00,David S. Ward
136,From the Journals of Jean Seberg (1995),3.54,Mark Rappaport
137,Man of the Year (1995),3.30,Dirk Shafer
65672,Grbavica: The Land of My Dreams (Grbavica) (2006),3.24,Jasmila Zbanic
138,"Neon Bible,3.28,Terence Davies
139,Target (1995),3.10,Sandip Ray
140,Up Close and Personal (1996),3.31,Jon Avnet
141,"Birdcage,3.52,Mike Nichols
142,Shadows (Cienie) (1988),3.06,
143,Gospa (1995),2.20,
144,"Brothers McMullen,3.47,Edward Burns
145,Bad Boys (1995),3.25,Zak Levitt
146,"Amazing Panda Adventure,2.90,Christopher Cain
147,"Basketball Diaries,3.60,Scott Kalvert
65682,Underworld: Rise of the Lycans (2009),3.29,Patrick Tatopoulos
65685,Inkheart (2008),3.17,Iain Softley
148,"Awfully Big Adventure,2.90,Mike Newell
149,Amateur (1994),3.69,Hal Hartley
150,Apollo 13 (1995),3.88,Ron Howard
151,Rob Roy (1995),3.53,Michael Caton-Jones
152,"Addiction,3.10,Abel Ferrara
153,Batman Forever (1995),2.92,Joel Schumacher
154,Beauty of the Day (Belle de jour) (1967),3.80,Luis Bunuel
155,Beyond Rangoon (1995),3.41,John Boorman
156,Blue in the Face (1995),3.54,Wayne Wang
157,Canadian Bacon (1995),2.79,Michael Moore
131231,Standby (2014),3.50,Robert Burke
158,Casper (1995),2.90,Brad Silberling
159,Clockers (1995),3.42,Spike Lee
160,Congo (1995),2.61,Frank Marshall
161,Crimson Tide (1995),3.75,Tony Scott
65696,Gun the Man Down (1956),3.00,Andrew V. McLaglen
162,Crumb (1994),3.99,Terry Zwigoff
163,Desperado (1995),3.43,Robert Rodriguez
65698,Albuquerque (1948),3.50,Ray Enright
164,Devil in a Blue Dress (1995),3.46,Carl Franklin
165,Die Hard: With a Vengeance (1995),3.49,John McTiernan
131239,Three Quarter Moon (2011),4.00,Christian Zubert
166,"Doom Generation,2.79,Gregg Araki
167,Feast of July (1995),3.19,Christopher Menaul
65702,"War Comes to America (Why We Fight,2.92,
131237,What Men Talk About (2010),3.00,Dmitriy Dyachenko
168,First Knight (1995),3.07,Jerry Zucker
169,Free Willy 2: The Adventure Home (1995),2.31,Dwight Little
131243,Werner - Gekotzt wird später (2003),4.00,Michael Schaack
170,Hackers (1995),3.21,Iain Softley
171,Jeffrey (1995),3.61,Christopher Ashley
131241,Ants in the Pants (2000),4.00,Marc Rothemund
172,Johnny Mnemonic (1995),2.73,Robert Longo
65709,This Filthy World (2006),3.38,Jeff Garlin
173,Judge Dredd (1995),2.53,Danny Cannon
174,Jury Duty (1995),2.46,John Fortenberry
175,Kids (1995),3.52,Larry Clark
176,Living in Oblivion (1995),3.85,Tom DiCillo
131250,No More School (2000),4.00,
177,Lord of Illusions (1995),2.89,Clive Barker
178,Love & Human Remains (1993),3.38,Denys Arcand
131248,Brother Bear 2 (2006),4.00,Ben Gluck
179,Mad Love (1995),2.75,Jill Goldman
180,Mallrats (1995),3.58,Kevin Smith
131254,Kein Bund für's Leben (2007),4.00,Granz Henman
181,Mighty Morphin Power Rangers: The Movie (1995),1.97,Steve Wang
182,Moonlight and Valentino (1995),3.09,David Anspaugh
131252,Forklift Driver Klaus: The First Day on the Job (2001),4.00,Stefan Prehn
183,Mute Witness (1994),3.36,Anthony Waller
184,Nadja (1994),3.12,Rodney Gibbons
65721,"Soviet Story,3.59,Edvins Snore
131258,The Pirates (2014),2.50,Lee Seok Hoon
185,"Net,3.13,Irwin Winkler
186,Nine Months (1995),2.88,Chris Columbus
131256,"Feuer,4.00,
187,Party Girl (1995),3.46,Daisy von Scherler Mayer
188,"Prophecy,3.34,Gregory Widen
131262,Innocence (2014),4.00,Hilary Brougher
189,Reckless (1995),3.01,Norman Rene
190,Safe (1995),3.57,Todd Haynes
131260,Rentun Ruusu (2001),3.00,
191,"Scarlet Letter,2.69,Roland Joffe
192,"Show,3.02,
65729,Shoot on Sight (2007),4.00,Jag Mundhra
193,Showgirls (1995),2.24,Paul Verhoeven
194,Smoke (1995),3.84,Paul Auster
65731,"Alphabet Killer,2.84,Rob Schmidt
195,Something to Talk About (1995),3.10,Lasse Hallstrom
196,Species (1995),2.84,Roger Donaldson
197,"Stars Fell on Henrietta,3.08,James Keach
198,Strange Days (1995),3.42,Kathryn Bigelow
199,"Umbrellas of Cherbourg,3.78,Jacques Demy
200,"Tie That Binds,2.84,Wesley Strick
201,Three Wishes (1995),3.04,Martha Coolidge
202,Total Eclipse (1995),2.98,Agnieszka Holland
203,"To Wong Foo,3.16,Beeban Kidron
65738,Revenge of the Nerds III: The Next Generation (1992),1.93,Roland Mesa
204,Under Siege 2: Dark Territory (1995),2.94,Geoff Murphy
205,Unstrung Heroes (1995),3.51,Diane Keaton
65740,Revenge of the Nerds IV: Nerds in Love (1994),2.03,Kevin Reynolds
206,Unzipped (1995),3.48,Douglas Keeve
207,"Walk in the Clouds,3.37,Alfonso Arau
208,Waterworld (1995),2.86,Kevin Costner
209,White Man's Burden (1995),2.84,Desmond Nakano
210,Wild Bill (1995),2.88,
211,"Browning Version,3.59,Mike Figgis
212,Bushwhacked (1995),2.58,Greg Beeman
213,Burnt by the Sun (Utomlyonnye solntsem) (1994),4.04,Nikita Mikhalkov
214,Before the Rain (Pred dozhdot) (1994),4.05,Milcho Manchevski
215,Before Sunrise (1995),3.84,Richard Linklater
216,Billy Madison (1995),3.26,Tamra Davis
217,"Babysitter,2.73,Guy Ferland
218,Boys on the Side (1995),3.29,Herbert Ross
219,"Cure,3.61,Peter Horton
220,Castle Freak (1995),2.41,Stuart Gordon
222,Circle of Friends (1995),3.53,Pat O'Connor
223,Clerks (1994),3.87,Kevin Smith
224,Don Juan DeMarco (1995),3.44,Jeremy Leven
225,Disclosure (1994),3.29,Barry Levinson
226,Dream Man (1995),2.69,Rene Bonniere
227,Drop Zone (1994),3.07,John Badham
65762,Soup to Nuts (1930),3.25,Benjamin Stoloff
228,Destiny Turns on the Radio (1995),2.69,Jack Baran
229,Death and the Maiden (1994),3.56,Roman Polanski
65764,Chinese Coffee (2000),3.30,Al Pacino
230,Dolores Claiborne (1995),3.58,Taylor Hackford
231,Dumb & Dumber (Dumb and Dumber) (1994),2.95,Bobby Farrelly
232,Eat Drink Man Woman (Yin shi nan nu) (1994),4.03,Ang Lee
233,Exotica (1994),3.52,Atom Egoyan
234,Exit to Eden (1994),2.68,Garry Marshall
235,Ed Wood (1994),3.66,Tim Burton
65770,Save Me (2007),3.50,Alan Roberts
236,French Kiss (1995),3.31,Lawrence Kasdan
237,Forget Paris (1995),3.23,Billy Crystal
65772,"Lazarus Project,3.11,John Glenn
238,Far From Home: The Adventures of Yellow Dog (1995),3.17,Walt Kubiak
239,"Goofy Movie,3.07,Kevin Lima
240,Hideaway (1995),2.91,Brett Leonard
241,Fluke (1995),3.03,Carlo Carlei
242,Farinelli: il castrato (1994),3.39,Gerard Corbiau
243,Gordy (1995),2.53,Mark Lewis
244,Gumby: The Movie (1995),2.36,Art Clokey
245,"Glass Shield,2.97,Charles Burnett
65780,"Man,3.17,Joseph Sargent
246,Hoop Dreams (1994),4.02,Steve James
247,Heavenly Creatures (1994),3.83,Peter Jackson
248,Houseguest (1994),3.02,Scott Senechal
249,Immortal Beloved (1994),3.68,Bernard Rose
250,Heavyweights (Heavy Weights) (1995),2.99,Steven Brill
251,"Hunted,3.04,J.F. Lauston
252,I.Q. (1994),3.21,Fred Schepisi
253,Interview with the Vampire: The Vampire Chronicles (1994),3.49,Neil Jordan
254,Jefferson in Paris (1995),2.89,James Ivory
255,"Jerky Boys,2.28,James Melkonian
256,Junior (1994),2.70,Ivan Reitman
257,Just Cause (1995),3.41,Arne Glimcher
258,"Kid in King Arthur's Court,2.65,Michael Gottlieb
259,Kiss of Death (1995),3.08,Barbet Schroeder
260,Star Wars: Episode IV - A New Hope (1977),4.19,George Lucas
261,Little Women (1994),3.60,
65796,Galaxy Express 999 (Ginga tetsudô Three-Nine) (1979),3.58,Rintaro
262,"Little Princess,3.77,Alfonso Cuaron
263,Ladybird Ladybird (1994),3.73,Ken Loach
264,"Enfer,3.33,Claude Chabrol
265,Like Water for Chocolate (Como agua para chocolate) (1992),3.92,Alfonso Arau
266,Legends of the Fall (1994),3.50,
267,Major Payne (1995),2.90,Nick Castle Jr.
65802,Paul Blart: Mall Cop (2009),2.45,Steve Carr
268,Little Odessa (1994),3.31,James Gray
269,My Crazy Life (Mi vida loca) (1993),3.48,Allison Anders
270,Love Affair (1994),3.18,Glenn Gordon Caron
271,Losing Isaiah (1995),3.34,Stephen Gyllenhaal
272,"Madness of King George,3.74,Nicholas Hytner
273,Mary Shelley's Frankenstein (Frankenstein) (1994),3.13,Kenneth Branagh
274,Man of the House (1995),2.87,James Orr
275,Mixed Nuts (1994),2.73,Nora Ephron
65810,Notorious (2009),3.22,George Tillman Jr.
276,Milk Money (1994),2.99,Richard Benjamin
65813,"Unborn,2.44,David S. Goyer
277,Miracle on 34th Street (1994),3.40,Les Mayfield
278,Miami Rhapsody (1995),3.03,David Frankel
279,My Family (1995),3.70,Gregory Nava
280,Murder in the First (1995),3.72,Mark Rocco
65817,Donkey Punch (2008),2.69,Oliver Blackburn
281,Nobody's Fool (1994),3.66,Robert Benton
282,Nell (1994),3.40,Michael Apted
283,New Jersey Drive (1995),3.09,Nick Gomez
284,New York Cop (Nyû Yôku no koppu) (1993),2.80,Toru Murakawa
285,Beyond Bedlam (1993),2.37,Vadim Jean
286,Nemesis 2: Nebula (1995),2.01,Albert Pyun
287,Nina Takes a Lover (1994),3.24,Alan Jacobs
288,Natural Born Killers (1994),3.23,Oliver Stone
289,Only You (1994),3.36,Norman Jewison
290,Once Were Warriors (1994),4.00,Lee Tamahori
291,Poison Ivy II (1996),2.29,Anne Goursaud
292,Outbreak (1995),3.42,Wolfgang Petersen
293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),4.05,Luc Besson
294,"Perez Family,3.18,Mira Nair
295,"Pyromaniac's Love Story,2.80,Joshua Brand
296,Pulp Fiction (1994),4.16,Quentin Tarantino
297,Panther (1995),3.11,Mario Van Peebles
298,Pushing Hands (Tui shou) (1992),3.51,Ang Lee
299,Priest (1994),3.73,Antonia Bird
300,Quiz Show (1994),3.67,Robert Redford
301,Picture Bride (Bijo photo) (1994),3.51,Kayo Hatta
302,"Queen Margot (Reine Margot,3.74,Patrice Chereau
303,"Quick and the Dead,3.04,Sam Raimi
304,Roommates (1995),3.19,Peter Yates
305,Ready to Wear (Pret-A-Porter) (1994),2.71,Robert Altman
65840,Where Is Fred!? (Wo ist Fred?) (2006),3.25,Anno Saul
306,Three Colors: Red (Trois couleurs: Rouge) (1994),4.07,Krzysztof Kieslowski
307,Three Colors: Blue (Trois couleurs: Bleu) (1993),3.98,Krzysztof Kieslowski
308,Three Colors: White (Trzy kolory: Bialy) (1994),3.91,Krzysztof Kieslowski
65845,Make It Happen (2008),3.06,Darren Grant
309,"Red Firecracker,3.64,Ping He
310,Rent-a-Kid (1995),2.76,Fred Gerber
311,Relative Fear (1994),2.74,George Mihalka
312,Stuart Saves His Family (1995),2.62,Harold Ramis
313,"Swan Princess,3.06,Richard Rich
314,"Secret of Roan Inish,3.85,John Sayles
315,"Specialist,2.91,Luis Llosa
316,Stargate (1994),3.36,Roland Emmerich
317,"Santa Clause,3.15,John Pasquin
318,"Shawshank Redemption,4.45,Frank Darabont
319,Shallow Grave (1994),3.76,Danny Boyle
320,Suture (1993),3.25,Scott McGehee
321,Strawberry and Chocolate (Fresa y chocolate) (1993),3.76,Tomas Gutierrez Alea
322,Swimming with Sharks (1995),3.70,George Huang
324,"Sum of Us,3.69,Geoff Burton
325,National Lampoon's Senior Trip (1995),2.66,Alan Smithee
326,To Live (Huozhe) (1994),4.09,Yimou Zhang
327,Tank Girl (1995),2.81,Rachel Talalay
328,Tales from the Crypt Presents: Demon Knight (1995),3.16,Ernest R. Dickerson
329,Star Trek: Generations (1994),3.35,David Carson
330,Tales from the Hood (1995),2.81,Rusty Cundieff
331,Tom & Viv (1994),3.29,Brian Gilbert
65866,Three Strangers (1946),3.50,Jean Negulesco
332,Village of the Damned (1995),2.77,John Carpenter
333,Tommy Boy (1995),3.35,Peter Segal
65868,Repo! The Genetic Opera (2008),3.37,Darren Lynn Bousman
334,Vanya on 42nd Street (1994),3.82,Louis Malle
335,Underneath (1995),3.27,Steven Soderbergh
336,"Walking Dead,2.86,Preston A. Whitmore II
337,What's Eating Gilbert Grape (1993),3.75,Lasse Hallstrom
338,Virtuosity (1995),3.00,Brett Leonard
339,While You Were Sleeping (1995),3.51,Jon Turteltaub
340,"War,3.38,John Avnet
341,Double Happiness (1994),3.58,Mina Shum
342,Muriel's Wedding (1994),3.49,P.J. Hogan
343,"Baby-Sitters Club,2.66,Melanie Mayron
65878,Edge of Madness (2002),3.67,Anne Wheeler
344,Ace Ventura: Pet Detective (1994),2.98,Tom Shadyac
345,"Adventures of Priscilla,3.63,Stephan Elliott
346,Backbeat (1993),3.43,Iain Softley
347,Bitter Moon (1992),3.42,Roman Polanski
65882,"Uninvited,3.18,The Guard Brothers
348,Bullets Over Broadway (1994),3.68,Woody Allen
349,Clear and Present Danger (1994),3.67,Phillip Noyce
350,"Client,3.46,Joel Schumacher
351,"Corrina,3.31,Jessie Nelson
352,Crooklyn (1994),3.26,Spike Lee
353,"Crow,3.51,Alex Proyas
354,Cobb (1994),3.16,Ron Shelton
355,"Flintstones,2.43,Brian Levant
356,Forrest Gump (1994),4.04,Robert Zemeckis
357,Four Weddings and a Funeral (1994),3.65,Mike Newell
358,Higher Learning (1995),3.25,John Singleton
359,I Like It Like That (1994),3.29,Darnell Martin
65894,Fear[s] of the Dark (Peur[s] du noir) (2007),3.24,Marie Calliou
360,I Love Trouble (1994),2.73,
361,It Could Happen to You (1994),3.34,Andrew Bergman
362,"Jungle Book,3.38,Stephen Sommers
65899,12:01 (1993),3.32,Jack Sholder
363,"Wonderful,4.00,Ray Muller
364,"Lion King,3.78,Roger Allers
365,Little Buddha (1993),3.17,Bernardo Bertolucci
366,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale,2.96,Wes Craven
367,"Mask,3.18,Chuck Russell
368,Maverick (1994),3.40,Richard Donner
369,Mrs. Parker and the Vicious Circle (1994),3.32,Alan Rudolph
370,Naked Gun 33 1/3: The Final Insult (1994),2.95,Peter Segal
65907,Game Over (2005),1.75,Pekka Lehto
371,"Paper,3.26,Aaron Matthews
372,Reality Bites (1994),3.26,Ben Stiller
65909,Maria (2003),4.25,
373,Red Rock West (1992),3.78,John Dahl
374,Richie Rich (1994),2.45,Donald Petrie
375,Safe Passage (1994),3.27,Robert Allan Ackerman
376,"River Wild,3.29,Curtis Hanson
377,Speed (1994),3.50,Jan de Bont
378,Speechless (1994),3.13,Ron Underwood
379,Timecop (1994),2.72,Peter Hyams
380,True Lies (1994),3.50,James Cameron
381,When a Man Loves a Woman (1994),3.41,Luis Mandoki
382,Wolf (1994),3.05,Mike Nichols
383,Wyatt Earp (1994),3.20,Lawrence Kasdan
384,Bad Company (1995),2.99,Damian Harris
385,"Man of No Importance,3.56,Suri Krishnamma
386,S.F.W. (1994),2.82,Jefery Levy
387,"Low Down Dirty Shame,2.67,Keenen Ivory Wayans
388,Boys Life (1995),3.56,Anne Zuppa
389,"Colonel Chabert,3.49,Yves Angelo
390,Faster Pussycat! Kill! Kill! (1965),3.43,Russ Meyer
65927,Night Train (2009),2.76,Brian King
391,Jason's Lyric (1994),3.17,Doug McHenry
392,"Secret Adventures of Tom Thumb,3.29,Dave Borthwick
393,Street Fighter (1994),1.90,Steven E. de Souza
394,Coldblooded (1995),3.34,Wallace Wolodarsky
395,Desert Winds (1995),2.86,Michael A. Nickles
65930,"Big Stampede,1.00,Tenny Wright
396,Fall Time (1995),2.52,Paul Warner
397,"Fear,2.20,Vincent Robert
65932,Blue (1968),1.80,Silvio Narizzano
398,Frank and Ollie (1995),3.34,Theodore Thomas
65935,"Visitor,3.15,J.-P. Valkeapaa
399,Girl in the Cadillac (1995),2.29,Lucas Platt
400,Homage (1995),2.55,Ross Kagan Marks
401,Mirage (1995),3.05,Paul Williams
402,Open Season (1996),2.90,
65939,Kummeli Goldrush (Kummeli kultakuume) (1997),3.33,Matti Gronberg
403,Two Crimes (Dos crímenes) (1995),2.12,
404,Brother Minister: The Assassination of Malcolm X (1994),3.32,Jack Baxter
405,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),2.45,
406,Federal Hill (1994),3.07,Michael Corrente
407,In the Mouth of Madness (1995),3.14,John Carpenter
408,8 Seconds (1994),3.23,John G. Avildsen
