mid,genre
When Night Is Falling (1995),Romance
"Usual Suspects, The (1995)",Crime
"Usual Suspects,Mystery
"Usual Suspects,Thriller
Guardian Angel (1994),Action
Guardian Angel (1994),Drama
Guardian Angel (1994),Thriller
Mighty Aphrodite (1995),Comedy
Mighty Aphrodite (1995),Drama
Mighty Aphrodite (1995),Romance
Lamerica (1994),Adventure
Lamerica (1994),Drama
"Big Green, The (1995)",Children
"Big Green,Comedy
Georgia (1995),Drama
Kids of the Round Table (1995),Adventure
Kids of the Round Table (1995),Children
Kids of the Round Table (1995),Fantasy
Home for the Holidays (1995),Drama
"Postman, The (Postino, Il) (1994)",Comedy
"Postman,Drama
"Postman,Romance
"Confessional, The (Confessionnal, Le) (1995)",Drama
"Confessional,Mystery
"Indian in the Cupboard, The (1995)",Adventure
"Indian in the Cupboard,Children
"Indian in the Cupboard,Fantasy
Eye for an Eye (1996),Drama
Eye for an Eye (1996),Thriller
Mr. Holland's Opus (1995),Drama
Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy
Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Crime
Two if by Sea (1996),Comedy
Two if by Sea (1996),Romance
Bio-Dome (1996),Comedy
Lawnmower Man 2: Beyond Cyberspace (1996),Action
Lawnmower Man 2: Beyond Cyberspace (1996),Sci-Fi
Lawnmower Man 2: Beyond Cyberspace (1996),Thriller
Two Bits (1995),Drama
French Twist (Gazon maudit) (1995),Comedy
French Twist (Gazon maudit) (1995),Romance
Friday (1995),Comedy
From Dusk Till Dawn (1996),Action
From Dusk Till Dawn (1996),Comedy
From Dusk Till Dawn (1996),Horror
From Dusk Till Dawn (1996),Thriller
Fair Game (1995),Action
Kicking and Screaming (1995),Comedy
Kicking and Screaming (1995),Drama
"Misérables, Les (1995)",Drama
"Misérables,War
Bed of Roses (1996),Drama
Bed of Roses (1996),Romance
Big Bully (1996),Comedy
Big Bully (1996),Drama
Screamers (1995),Action
Screamers (1995),Sci-Fi
Screamers (1995),Thriller
Nico Icon (1995),Documentary
"Crossing Guard, The (1995)",Action
"Crossing Guard,Crime
"Crossing Guard,Drama
"Crossing Guard,Thriller
"Juror, The (1996)",Drama
"Juror,Thriller
"White Balloon, The (Badkonake sefid) (1995)",Children
"White Balloon,Drama
Things to Do in Denver When You're Dead (1995),Crime
Things to Do in Denver When You're Dead (1995),Drama
Things to Do in Denver When You're Dead (1995),Romance
Antonia's Line (Antonia) (1995),Comedy
Antonia's Line (Antonia) (1995),Drama
Once Upon a Time... When We Were Colored (1995),Drama
Once Upon a Time... When We Were Colored (1995),Romance
Last Summer in the Hamptons (1995),Comedy
Last Summer in the Hamptons (1995),Drama
Angels and Insects (1995),Drama
Angels and Insects (1995),Romance
White Squall (1996),Action
White Squall (1996),Adventure
White Squall (1996),Drama
Dunston Checks In (1996),Children
Dunston Checks In (1996),Comedy
Black Sheep (1996),Comedy
Nick of Time (1995),Action
Nick of Time (1995),Thriller
"Journey of August King, The (1995)",Drama
Mary Reilly (1996),Drama
Mary Reilly (1996),Horror
Mary Reilly (1996),Thriller
Vampire in Brooklyn (1995),Comedy
Vampire in Brooklyn (1995),Horror
Vampire in Brooklyn (1995),Romance
Beautiful Girls (1996),Comedy
Beautiful Girls (1996),Drama
Beautiful Girls (1996),Romance
Broken Arrow (1996),Action
Broken Arrow (1996),Adventure
Broken Arrow (1996),Thriller
In the Bleak Midwinter (1995),Comedy
In the Bleak Midwinter (1995),Drama
"Hate (Haine, La) (1995)",Crime
"Hate (Haine,Drama
Shopping (1994),Action
Shopping (1994),Thriller
Heidi Fleiss: Hollywood Madam (1995),Documentary
City Hall (1996),Drama
City Hall (1996),Thriller
Bottle Rocket (1996),Adventure
Bottle Rocket (1996),Comedy
Bottle Rocket (1996),Crime
Bottle Rocket (1996),Romance
Mr. Wrong (1996),Comedy
Unforgettable (1996),Mystery
Unforgettable (1996),Sci-Fi
Unforgettable (1996),Thriller
Happy Gilmore (1996),Comedy
"Bridges of Madison County, The (1995)",Drama
"Bridges of Madison County,Romance
Nobody Loves Me (Keiner liebt mich) (1994),Comedy
Nobody Loves Me (Keiner liebt mich) (1994),Drama
Muppet Treasure Island (1996),Adventure
Muppet Treasure Island (1996),Children
Muppet Treasure Island (1996),Comedy
Muppet Treasure Island (1996),Musical
Catwalk (1996),Documentary
Headless Body in Topless Bar (1995),Comedy
Headless Body in Topless Bar (1995),Drama
Headless Body in Topless Bar (1995),Thriller
Braveheart (1995),Action
Braveheart (1995),Drama
Braveheart (1995),War
Taxi Driver (1976),Crime
Taxi Driver (1976),Drama
Taxi Driver (1976),Thriller
Rumble in the Bronx (Hont faan kui) (1995),Action
Rumble in the Bronx (Hont faan kui) (1995),Adventure
Rumble in the Bronx (Hont faan kui) (1995),Comedy
Rumble in the Bronx (Hont faan kui) (1995),Crime
Before and After (1996),Drama
Before and After (1996),Mystery
Margaret's Museum (1995),Drama
"Happiness Is in the Field (Bonheur est dans le pré, Le) (1995)",Comedy
Anne Frank Remembered (1995),Documentary
"Young Poisoner's Handbook, The (1995)",Crime
"Young Poisoner's Handbook,Drama
If Lucy Fell (1996),Comedy
If Lucy Fell (1996),Romance
"Steal Big, Steal Little (1995)",Comedy
Race the Sun (1996),Adventure
Race the Sun (1996),Comedy
Race the Sun (1996),Drama
"Boys of St. Vincent, The (1992)",Drama
Boomerang (1992),Comedy
Boomerang (1992),Romance
Chungking Express (Chung Hing sam lam) (1994),Drama
Chungking Express (Chung Hing sam lam) (1994),Mystery
Chungking Express (Chung Hing sam lam) (1994),Romance
"Star Maker, The (Uomo delle stelle, L') (1995)",Drama
Flirting With Disaster (1996),Comedy
"NeverEnding Story III, The (1994)",Adventure
"NeverEnding Story III,Children
"NeverEnding Story III,Fantasy
"Silences of the Palace, The (Saimt el Qusur) (1994)",Drama
Jupiter's Wife (1994),Documentary
Pie in the Sky (1996),Comedy
Pie in the Sky (1996),Romance
Angela (1995),Drama
Frankie Starlight (1995),Drama
Frankie Starlight (1995),Romance
Jade (1995),Thriller
Nueba Yol (1995),Comedy
Nueba Yol (1995),Drama
Sonic Outlaws (1995),Documentary
Down Periscope (1996),Comedy
From the Journals of Jean Seberg (1995),Documentary
Man of the Year (1995),Documentary
"Neon Bible, The (1995)",Drama
Target (1995),Action
Target (1995),Drama
Up Close and Personal (1996),Drama
Up Close and Personal (1996),Romance
"Birdcage, The (1996)",Comedy
Shadows (Cienie) (1988),Drama
Gospa (1995),Drama
"Brothers McMullen, The (1995)",Comedy
Bad Boys (1995),Action
Bad Boys (1995),Comedy
Bad Boys (1995),Crime
Bad Boys (1995),Drama
Bad Boys (1995),Thriller
"Amazing Panda Adventure, The (1995)",Adventure
"Amazing Panda Adventure,Children
"Basketball Diaries, The (1995)",Drama
"Awfully Big Adventure, An (1995)",Drama
Amateur (1994),Crime
Amateur (1994),Drama
Amateur (1994),Thriller
Apollo 13 (1995),Adventure
Apollo 13 (1995),Drama
Apollo 13 (1995),IMAX
Rob Roy (1995),Action
Rob Roy (1995),Drama
Rob Roy (1995),Romance
Rob Roy (1995),War
"Addiction, The (1995)",Drama
"Addiction,Horror
Batman Forever (1995),Action
Batman Forever (1995),Adventure
Batman Forever (1995),Comedy
Batman Forever (1995),Crime
Beauty of the Day (Belle de jour) (1967),Drama
Beyond Rangoon (1995),Adventure
Beyond Rangoon (1995),Drama
Beyond Rangoon (1995),War
Blue in the Face (1995),Comedy
Blue in the Face (1995),Drama
Canadian Bacon (1995),Comedy
Canadian Bacon (1995),War
Casper (1995),Adventure
Casper (1995),Children
Clockers (1995),Crime
Clockers (1995),Drama
Clockers (1995),Mystery
Congo (1995),Action
Congo (1995),Adventure
Congo (1995),Mystery
Congo (1995),Sci-Fi
Crimson Tide (1995),Drama
Crimson Tide (1995),Thriller
Crimson Tide (1995),War
Crumb (1994),Documentary
Desperado (1995),Action
Desperado (1995),Romance
Desperado (1995),Western
Devil in a Blue Dress (1995),Crime
Devil in a Blue Dress (1995),Film-Noir
Devil in a Blue Dress (1995),Mystery
Devil in a Blue Dress (1995),Thriller
Die Hard: With a Vengeance (1995),Action
Die Hard: With a Vengeance (1995),Crime
Die Hard: With a Vengeance (1995),Thriller
"Doom Generation, The (1995)",Comedy
"Doom Generation,Crime
"Doom Generation,Drama
Feast of July (1995),Drama
First Knight (1995),Action
First Knight (1995),Drama
First Knight (1995),Romance
Free Willy 2: The Adventure Home (1995),Adventure
Free Willy 2: The Adventure Home (1995),Children
Free Willy 2: The Adventure Home (1995),Drama
Hackers (1995),Action
Hackers (1995),Adventure
Hackers (1995),Crime
Hackers (1995),Thriller
Jeffrey (1995),Comedy
Jeffrey (1995),Drama
Johnny Mnemonic (1995),Action
Johnny Mnemonic (1995),Sci-Fi
Johnny Mnemonic (1995),Thriller
Judge Dredd (1995),Action
Judge Dredd (1995),Crime
Judge Dredd (1995),Sci-Fi
Jury Duty (1995),Comedy
Kids (1995),Drama
Living in Oblivion (1995),Comedy
Lord of Illusions (1995),Horror
Love & Human Remains (1993),Comedy
Love & Human Remains (1993),Drama
Mad Love (1995),Drama
Mad Love (1995),Romance
Mallrats (1995),Comedy
Mallrats (1995),Romance
Mighty Morphin Power Rangers: The Movie (1995),Action
Mighty Morphin Power Rangers: The Movie (1995),Children
Moonlight and Valentino (1995),Drama
Moonlight and Valentino (1995),Romance
Mute Witness (1994),Comedy
Mute Witness (1994),Horror
Mute Witness (1994),Thriller
Nadja (1994),Drama
"Net, The (1995)",Action
"Net,Crime
"Net,Thriller
Nine Months (1995),Comedy
Nine Months (1995),Romance
Party Girl (1995),Comedy
"Prophecy, The (1995)",Fantasy
"Prophecy,Horror
"Prophecy,Mystery
Reckless (1995),Comedy
Reckless (1995),Fantasy
Safe (1995),Thriller
"Scarlet Letter, The (1995)",Drama
"Scarlet Letter,Romance
"Show, The (1995)",Documentary
Showgirls (1995),Drama
Smoke (1995),Comedy
Smoke (1995),Drama
Something to Talk About (1995),Comedy
Something to Talk About (1995),Drama
Something to Talk About (1995),Romance
Species (1995),Horror
Species (1995),Sci-Fi
"Stars Fell on Henrietta, The (1995)",Drama
Strange Days (1995),Action
Strange Days (1995),Crime
Strange Days (1995),Drama
Strange Days (1995),Mystery
Strange Days (1995),Sci-Fi
Strange Days (1995),Thriller
"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama
"Umbrellas of Cherbourg,Musical
"Umbrellas of Cherbourg,Romance
"Tie That Binds, The (1995)",Thriller
Three Wishes (1995),Drama
Three Wishes (1995),Fantasy
Total Eclipse (1995),Drama
Total Eclipse (1995),Romance
"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy
Under Siege 2: Dark Territory (1995),Action
Unstrung Heroes (1995),Comedy
Unstrung Heroes (1995),Drama
Unzipped (1995),Documentary
"Walk in the Clouds, A (1995)",Drama
"Walk in the Clouds,Romance
Waterworld (1995),Action
Waterworld (1995),Adventure
Waterworld (1995),Sci-Fi
White Man's Burden (1995),Drama
Wild Bill (1995),Western
"Browning Version, The (1994)",Drama
Bushwhacked (1995),Adventure
Bushwhacked (1995),Comedy
Bushwhacked (1995),Crime
Bushwhacked (1995),Mystery
Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama
Before the Rain (Pred dozhdot) (1994),Drama
Before the Rain (Pred dozhdot) (1994),War
Before Sunrise (1995),Drama
Before Sunrise (1995),Romance
Billy Madison (1995),Comedy
"Babysitter, The (1995)",Drama
"Babysitter,Thriller
Boys on the Side (1995),Comedy
Boys on the Side (1995),Drama
"Cure, The (1995)",Drama
Castle Freak (1995),Horror
Circle of Friends (1995),Drama
Circle of Friends (1995),Romance
Clerks (1994),Comedy
Don Juan DeMarco (1995),Comedy
Don Juan DeMarco (1995),Drama
Don Juan DeMarco (1995),Romance
Disclosure (1994),Drama
Disclosure (1994),Thriller
Dream Man (1995),Thriller
Drop Zone (1994),Action
Drop Zone (1994),Thriller
Destiny Turns on the Radio (1995),Comedy
Death and the Maiden (1994),Drama
Death and the Maiden (1994),Thriller
Dolores Claiborne (1995),Drama
Dolores Claiborne (1995),Thriller
Dumb & Dumber (Dumb and Dumber) (1994),Adventure
Dumb & Dumber (Dumb and Dumber) (1994),Comedy
Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy
Eat Drink Man Woman (Yin shi nan nu) (1994),Drama
Eat Drink Man Woman (Yin shi nan nu) (1994),Romance
Exotica (1994),Drama
Exit to Eden (1994),Comedy
Ed Wood (1994),Comedy
Ed Wood (1994),Drama
French Kiss (1995),Action
French Kiss (1995),Comedy
French Kiss (1995),Romance
Forget Paris (1995),Comedy
Forget Paris (1995),Romance
Far From Home: The Adventures of Yellow Dog (1995),Adventure
Far From Home: The Adventures of Yellow Dog (1995),Children
"Goofy Movie, A (1995)",Animation
"Goofy Movie,Children
"Goofy Movie,Comedy
"Goofy Movie,Romance
Hideaway (1995),Thriller
Fluke (1995),Children
Fluke (1995),Drama
Farinelli: il castrato (1994),Drama
Farinelli: il castrato (1994),Musical
Gordy (1995),Children
Gordy (1995),Comedy
Gordy (1995),Fantasy
Gumby: The Movie (1995),Animation
Gumby: The Movie (1995),Children
"Glass Shield, The (1994)",Crime
"Glass Shield,Drama
Hoop Dreams (1994),Documentary
Heavenly Creatures (1994),Crime
Heavenly Creatures (1994),Drama
Houseguest (1994),Comedy
Immortal Beloved (1994),Drama
Immortal Beloved (1994),Romance
Heavyweights (Heavy Weights) (1995),Children
Heavyweights (Heavy Weights) (1995),Comedy
"Hunted, The (1995)",Action
I.Q. (1994),Comedy
I.Q. (1994),Romance
Interview with the Vampire: The Vampire Chronicles (1994),Drama
Interview with the Vampire: The Vampire Chronicles (1994),Horror
Jefferson in Paris (1995),Drama
"Jerky Boys, The (1995)",Comedy
Junior (1994),Comedy
Junior (1994),Sci-Fi
Just Cause (1995),Mystery
Just Cause (1995),Thriller
"Kid in King Arthur's Court, A (1995)",Adventure
"Kid in King Arthur's Court,Children
"Kid in King Arthur's Court,Comedy
"Kid in King Arthur's Court,Fantasy
"Kid in King Arthur's Court,Romance
Kiss of Death (1995),Crime
Kiss of Death (1995),Drama
Kiss of Death (1995),Thriller
Star Wars: Episode IV - A New Hope (1977),Action
Star Wars: Episode IV - A New Hope (1977),Adventure
Star Wars: Episode IV - A New Hope (1977),Sci-Fi
Little Women (1994),Drama
"Little Princess, A (1995)",Children
"Little Princess,Drama
Ladybird Ladybird (1994),Drama
"Enfer, L' (1994)",Drama
Like Water for Chocolate (Como agua para chocolate) (1992),Drama
Like Water for Chocolate (Como agua para chocolate) (1992),Fantasy
Like Water for Chocolate (Como agua para chocolate) (1992),Romance
Legends of the Fall (1994),Drama
Legends of the Fall (1994),Romance
Legends of the Fall (1994),War
Legends of the Fall (1994),Western
Major Payne (1995),Comedy
Little Odessa (1994),Crime
Little Odessa (1994),Drama
My Crazy Life (Mi vida loca) (1993),Drama
Love Affair (1994),Drama
Love Affair (1994),Romance
Losing Isaiah (1995),Drama
"Madness of King George, The (1994)",Comedy
"Madness of King George,Drama
Mary Shelley's Frankenstein (Frankenstein) (1994),Drama
Mary Shelley's Frankenstein (Frankenstein) (1994),Horror
Mary Shelley's Frankenstein (Frankenstein) (1994),Sci-Fi
Man of the House (1995),Comedy
Mixed Nuts (1994),Comedy
Milk Money (1994),Comedy
Milk Money (1994),Romance
Miracle on 34th Street (1994),Drama
Miami Rhapsody (1995),Comedy
My Family (1995),Drama
Murder in the First (1995),Drama
Murder in the First (1995),Thriller
Nobody's Fool (1994),Comedy
Nobody's Fool (1994),Drama
Nobody's Fool (1994),Romance
Nell (1994),Drama
New Jersey Drive (1995),Crime
New Jersey Drive (1995),Drama
New York Cop (Nyû Yôku no koppu) (1993),Action
New York Cop (Nyû Yôku no koppu) (1993),Crime
Beyond Bedlam (1993),Drama
Beyond Bedlam (1993),Horror
Nemesis 2: Nebula (1995),Action
Nemesis 2: Nebula (1995),Sci-Fi
Nemesis 2: Nebula (1995),Thriller
Nina Takes a Lover (1994),Comedy
Nina Takes a Lover (1994),Romance
Natural Born Killers (1994),Action
Natural Born Killers (1994),Crime
Natural Born Killers (1994),Thriller
Only You (1994),Comedy
Only You (1994),Romance
Once Were Warriors (1994),Crime
Once Were Warriors (1994),Drama
Poison Ivy II (1996),Drama
Poison Ivy II (1996),Thriller
Outbreak (1995),Action
Outbreak (1995),Drama
Outbreak (1995),Sci-Fi
Outbreak (1995),Thriller
Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action
Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Crime
Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Drama
Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Thriller
"Perez Family, The (1995)",Comedy
"Perez Family,Romance
"Pyromaniac's Love Story, A (1995)",Comedy
"Pyromaniac's Love Story,Romance
Pulp Fiction (1994),Comedy
Pulp Fiction (1994),Crime
Pulp Fiction (1994),Drama
Pulp Fiction (1994),Thriller
Panther (1995),Drama
Pushing Hands (Tui shou) (1992),Drama
Priest (1994),Drama
Quiz Show (1994),Drama
Picture Bride (Bijo photo) (1994),Drama
Picture Bride (Bijo photo) (1994),Romance
"Queen Margot (Reine Margot, La) (1994)",Drama
"Queen Margot (Reine Margot,Romance
"Quick and the Dead, The (1995)",Action
"Quick and the Dead,Thriller
"Quick and the Dead,Western
Roommates (1995),Comedy
Roommates (1995),Drama
Ready to Wear (Pret-A-Porter) (1994),Comedy
Three Colors: Red (Trois couleurs: Rouge) (1994),Drama
Three Colors: Blue (Trois couleurs: Bleu) (1993),Drama
Three Colors: White (Trzy kolory: Bialy) (1994),Comedy
Three Colors: White (Trzy kolory: Bialy) (1994),Drama
"Red Firecracker, Green Firecracker (Pao Da Shuang Deng) (1994)",Drama
Rent-a-Kid (1995),Comedy
Relative Fear (1994),Horror
Relative Fear (1994),Thriller
Stuart Saves His Family (1995),Comedy
"Swan Princess, The (1994)",Animation
"Swan Princess,Children
"Secret of Roan Inish, The (1994)",Children
"Secret of Roan Inish,Drama
"Secret of Roan Inish,Fantasy
"Secret of Roan Inish,Mystery
"Specialist, The (1994)",Action
"Specialist,Drama
"Specialist,Thriller
Stargate (1994),Action
Stargate (1994),Adventure
Stargate (1994),Sci-Fi
"Santa Clause, The (1994)",Comedy
"Santa Clause,Drama
"Santa Clause,Fantasy
"Shawshank Redemption, The (1994)",Crime
"Shawshank Redemption,Drama
Shallow Grave (1994),Comedy
Shallow Grave (1994),Drama
Shallow Grave (1994),Thriller
Suture (1993),Film-Noir
Suture (1993),Thriller
Strawberry and Chocolate (Fresa y chocolate) (1993),Drama
Swimming with Sharks (1995),Comedy
Swimming with Sharks (1995),Drama
"Sum of Us, The (1994)",Comedy
"Sum of Us,Drama
National Lampoon's Senior Trip (1995),Comedy
To Live (Huozhe) (1994),Drama
Tank Girl (1995),Action
Tank Girl (1995),Comedy
Tank Girl (1995),Sci-Fi
Tales from the Crypt Presents: Demon Knight (1995),Horror
Tales from the Crypt Presents: Demon Knight (1995),Thriller
Star Trek: Generations (1994),Adventure
Star Trek: Generations (1994),Drama
Star Trek: Generations (1994),Sci-Fi
Tales from the Hood (1995),Action
Tales from the Hood (1995),Crime
Tales from the Hood (1995),Horror
Tom & Viv (1994),Drama
Village of the Damned (1995),Horror
Village of the Damned (1995),Sci-Fi
Tommy Boy (1995),Comedy
Vanya on 42nd Street (1994),Drama
Underneath (1995),Mystery
Underneath (1995),Thriller
"Walking Dead, The (1995)",Drama
"Walking Dead,War
What's Eating Gilbert Grape (1993),Drama
Virtuosity (1995),Action
Virtuosity (1995),Sci-Fi
Virtuosity (1995),Thriller
While You Were Sleeping (1995),Comedy
While You Were Sleeping (1995),Romance
"War, The (1994)",Adventure
"War,Drama
"War,War
Double Happiness (1994),Drama
Muriel's Wedding (1994),Comedy
"Baby-Sitters Club, The (1995)",Children
Ace Ventura: Pet Detective (1994),Comedy
"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy
"Adventures of Priscilla,Drama
Backbeat (1993),Drama
Backbeat (1993),Musical
Bitter Moon (1992),Drama
Bitter Moon (1992),Film-Noir
Bitter Moon (1992),Romance
Bullets Over Broadway (1994),Comedy
Clear and Present Danger (1994),Action
Clear and Present Danger (1994),Crime
Clear and Present Danger (1994),Drama
Clear and Present Danger (1994),Thriller
"Client, The (1994)",Drama
"Client,Mystery
"Client,Thriller
"Corrina, Corrina (1994)",Comedy
"Corrina,Drama
"Corrina,Romance
Crooklyn (1994),Comedy
Crooklyn (1994),Drama
"Crow, The (1994)",Action
"Crow,Crime
"Crow,Fantasy
"Crow,Thriller
Cobb (1994),Drama
"Flintstones, The (1994)",Children
"Flintstones,Comedy
"Flintstones,Fantasy
Forrest Gump (1994),Comedy
Forrest Gump (1994),Drama
Forrest Gump (1994),Romance
Forrest Gump (1994),War
Four Weddings and a Funeral (1994),Comedy
Four Weddings and a Funeral (1994),Romance
Higher Learning (1995),Drama
I Like It Like That (1994),Comedy
I Like It Like That (1994),Drama
I Like It Like That (1994),Romance
I Love Trouble (1994),Action
I Love Trouble (1994),Comedy
It Could Happen to You (1994),Comedy
It Could Happen to You (1994),Drama
It Could Happen to You (1994),Romance
"Jungle Book, The (1994)",Adventure
"Jungle Book,Children
"Jungle Book,Romance
"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",Documentary
"Lion King, The (1994)",Adventure
"Lion King,Animation
"Lion King,Children
"Lion King,Drama
"Lion King,Musical
"Lion King,IMAX
Little Buddha (1993),Drama
"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",Drama
"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale,Horror
"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale,Mystery
"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale,Thriller
"Mask, The (1994)",Action
"Mask,Comedy
"Mask,Crime
"Mask,Fantasy
Maverick (1994),Adventure
Maverick (1994),Comedy
Maverick (1994),Western
Mrs. Parker and the Vicious Circle (1994),Drama
Naked Gun 33 1/3: The Final Insult (1994),Action
Naked Gun 33 1/3: The Final Insult (1994),Comedy
"Paper, The (1994)",Comedy
"Paper,Drama
Reality Bites (1994),Comedy
Reality Bites (1994),Drama
Reality Bites (1994),Romance
Red Rock West (1992),Thriller
Richie Rich (1994),Children
Richie Rich (1994),Comedy
Safe Passage (1994),Drama
"River Wild, The (1994)",Action
"River Wild,Thriller
Speed (1994),Action
Speed (1994),Romance
Speed (1994),Thriller
Speechless (1994),Comedy
Speechless (1994),Romance
Timecop (1994),Action
Timecop (1994),Sci-Fi
Timecop (1994),Thriller
True Lies (1994),Action
True Lies (1994),Adventure
True Lies (1994),Comedy
True Lies (1994),Romance
True Lies (1994),Thriller
When a Man Loves a Woman (1994),Drama
When a Man Loves a Woman (1994),Romance
Wolf (1994),Drama
Wolf (1994),Horror
Wolf (1994),Romance
Wolf (1994),Thriller
Wyatt Earp (1994),Western
Bad Company (1995),Action
Bad Company (1995),Crime
Bad Company (1995),Drama
"Man of No Importance, A (1994)",Drama
S.F.W. (1994),Drama
"Low Down Dirty Shame, A (1994)",Action
"Low Down Dirty Shame,Comedy
Boys Life (1995),Drama
"Colonel Chabert, Le (1994)",Drama
"Colonel Chabert,Romance
"Colonel Chabert,War
Faster Pussycat! Kill! Kill! (1965),Action
Faster Pussycat! Kill! Kill! (1965),Crime
Faster Pussycat! Kill! Kill! (1965),Drama
Jason's Lyric (1994),Crime
Jason's Lyric (1994),Drama
"Secret Adventures of Tom Thumb, The (1993)",Adventure
"Secret Adventures of Tom Thumb,Animation
Street Fighter (1994),Action
Street Fighter (1994),Adventure
Street Fighter (1994),Fantasy
Coldblooded (1995),Comedy
Desert Winds (1995),Drama
Desert Winds (1995),Fantasy
Desert Winds (1995),Romance
Fall Time (1995),Drama
"Fear, The (1995)",Horror
Frank and Ollie (1995),Documentary
Girl in the Cadillac (1995),Drama
Homage (1995),Drama
Mirage (1995),Action
Mirage (1995),Thriller
Open Season (1996),Comedy
Two Crimes (Dos crímenes) (1995),Comedy
